2;3;5;7;11;13;17;19;23;29;31
die Absicht (1) das gleiche anzustreben wie jedes Lebewesen;;;;;;;;;;
;Durch das Nutzen (3) beabsichtigen zu Überleben;;;;;;;;;
Durch das Machen (4) das gleiche anstreben können, wie jedes andere Lebewesen;;;;;;;;;;
;;Durch Selbstsucht (5) beabsichtigt man die Unversehrtheit (5*n);;;;;;;;
Durch den Vorteil (6) nutzen (3) das gleiche anzustreben, wie jedes andere Lebewesen;Durch den Vorteil (6) überleben können;;;;;;;;;
;;;Selbstlosigkeit (7) ist eine Art der Absicht zum Guten, relevant zum Anführer sein;;;;;;;
Durch die Selbstgerechtigkeit (8) machen (4), dass alle das gleiche anstreben;;;;;;;;;;
;Den höheren Zweck (9) nutzen (3), um zu überleben;;;;;;;;;
Die Selbstliebe (10) und Wahrheit (10) macht, dass es gilt (5), dass angestrebt wird, was alle Lebewesen anstreben;;Durch Freundschaft (10) und Selbstliebe (10) denen die Transzendentalie Wahrheit (10) zugrunde liegt, kann man unversehrt bleiben, wenn man das überhaupt wollen würde (1*5);;;;;;;;
;;;;Sexuell-spielerische Liebe als eines von mehreren Streben zu Andersartigkeit ist die Absicht des Verstehen-Wollens, so wie alle Arten des Strebens zu Andersartigkeit;;;;;;
Das Ordnungsstreben (12) macht, dass für alle der Wert (6) gilt, dass sie anstreben, was alle Lebewesen anstreben, was vorteilhaft (6) ist;Durch Ordnungsstreben machen, dass man überlebt;;;;;;;;;
;;;;;Die schwarze Sonne ist eine von mehreren Möglichen Formen des Verneinens und Negierens und der unären Operationen, die Absicht Evolution umzukehren;;;;;
Die Ich-losigkeit (14), durch die man besser im Außen kombinieren (14) kann, macht, dass alle das Gute beabsichtigen (1*7), welches allen Lebewesen anstreben.;;;Ich-Losigkeit (14) ist eine Art des im Außen Kominieren-können (14), wodurch mal letztendlich gut sein kann (2*7), wenn man das wollen würde (1*7);;;;;;;
;Durch Selbstrespekt (16) und Reflexivität zu sich selbst (15) gilt (5*n) das Überleben ;Selbstrespekt (16) und Reflexivität zu sich selbst (15) nutzt man, um unversehrt zu bleiben;;;;;;;;
Die Selbstgenügsamkeit (16) macht, dass alle aus Selbstgerechtigkeit (8) im Sein (8) anstreben, was allen Lebewesen anstreben.;;;;;;;;;;
;;;;;;Die Absicht (1) der Abneigung (17);;;;
Die Zuneigung (18) macht, dass alle einheitlich (9) das anstreben, was alle Lebewesen anstreben.;Durch Zuneigung (18) hat man den Vorteil (6), dass man überlebt;;;;;;;;;
;;;;;;;Nur Absicht (1): Kinder bekommen wollen von dem / den Besten in der ganzen Welt, nur als Absicht, d.h. es wird schwer, dass man das kann. Das läuft wohl auf Transzendenz-Senden-Spaming hinaus.;;;
Die Liebe zu Familie als Ganzes (20) macht, macht dass man sich damit anfreundet (10), was alle Lebewesen anstreben;;Liebe zu Familie als Ganzes (20) macht (4) unversehrt bzw. entwickelt (4) Unversehrt-bleiben;;;;;;;;
;Durch Über-Ich-Losigkeit (21) (keine Notwendigkeit von Moral, Sitte, etc.) kann man als Guter (7) überleben bzw. selbstlos (7) überleben;;Durch Über-Ich-Losigkeit (21) (keine Notwendigkeit von Moral, Sitte, etc.) ist man befähigt etwas zu Nutzen, um geeignet als Anführer zu sein (7*n);;;;;;;
Dadurch dass man verstehen kann (22), sofern man das wollen würde, strebt man alles an, was an allen anderen Lebewesen anders (11) ist.;;;;Verstehen-können: gegenseitige Integrität u.a. enby sein - bzw. totales Wissen der weiblichen sowie der männlichen sowie der kindlichen Perspektive Drittes Auge haben bzw. siebter Sinn Unsere 4 Extremitäten (Hände und Füße) quasi wie mit einem Exoskelett etc. verbessern. besser sehen können z.B. durch Technologie, etc.;;;;;;
;;;;;;;;keine Absicht (1) mehr brauchen, um Kinder zu bekommen (Nicht der Mond 4. Der ist ähnlich. 23 ist eine Sonne und sogar eine Primzahlsonne);;
Durch gegenseitiges Verständnis (24) strebt man die höhere Ordnung an, denen alle Lebewesen unterliegen, was sie anstreben;Durch gegenseitiges Verständnis kann man trotz Selbstgerechtigkeit überleben;;;;;;;;;
;;Die Liebe zum Freundeskreis als Gesamtheit statt einzelner Freunde macht, dass deine Unversehrtheit (5*n) gilt (5);;;;;;;;
Wenn die Überzüchtung umgekehrt werden kann (26), falls man das überhaupt wollte (falls 13), dann kehrt man das um, was alle Lebewesen anstreben;;;;;Wenn die Überzüchtung umgekehrt werden kann (26), falls man das überhaupt wollte (falls 13), dann kann man Evolution umkehren.;;;;;
;Durch Auflösen von Livelocks und Deadlocks von Transzendenz Peer to Peer Verbindungen, wie bei paralleler Programmierung (27), d.h. Loslösung, kann man als Einheit (9) zusammen überleben;;;;;;;;;
Wenn man Menschen zu Anführern macht (28), dann können alle Rekombinieren, wenn sie genug Ich-Los sind, was alle Lebewesen anstreben;;;Wenn man Menschen zu Anführern macht (28), dann macht sich damit geeignet anzuführen (7*n);;;;;;;
;;;;;;;;;Absicht (1) Kinder machen so genetisch, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert.;
Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), respektvoll mit sich in Selbstreflektion (15) das anstreben, was alle Lebewesen anstreben;Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), hat man die Wahrheit (10) zum freundschaftlichen (10) Überleben;Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), unversehrt bleiben;;;;;;;;
;;;;;;;;;;Absicht (1): Kinder keinesfalls von den besten Transzendenten zeugen lassen, sondern von normalen Menschen (wobei diese dann wohl auch Transzendenz haben, durch voran gegangene Züchtungen).
Aus Selbstherrlichkeit (32) Selbstgenügsames (16) anstreben, was alle Lebewesen anstreben;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Durch materiellen Nachteil (36), der vielleicht sogar hier angestrebt wird, die Art des Zuneigung-Bezeugen anstreben, wie sie alle Lebewesen anstreben.;Durch materiellen Nachteil (36), der vielleicht sogar hier angestrebt wird, hat man eine Ordnung mit der man überlebt;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Durch Selbstlos zu Selbstlosen sein (49) multipliziert sich die gute Absicht, sofern diese absichtvollen Menschen überhaupt das Gute bewirken können, wodurch man selbst als Anführer geeignet sein kann;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Kinder so genetisch machen können, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert,aber mit viel Mühe der Eltern.;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Aus Ignoranz (64) Selbstherrliches anstreben, das alle Lebewesen anstreben;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Durch Zuspitzung (81) kann man sich loslösen (27), zum überleben (3*n);;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Nutzen (3): die Abhängigkeit vom gleichen Geschlecht nutzen. Das Kind ist abhängig von deren Abhängigkeit.  Damit: Kinder so genetisch machen, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert.;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Durch Unterordnung (100), durch Konzept 50 … was alle Lebewesen anstreben;;Durch Unterordnung (100), kann die Familie (20) unversehrt bleiben;;;;;;;;
